
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1052
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       2640
  TCP    0.0.0.0:5000           0.0.0.0:0              LISTENING       22280
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       8356
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       6860
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       19732
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       16624
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       860
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       712
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1828
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1916
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4496
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       840
  TCP    0.0.0.0:49891          0.0.0.0:0              LISTENING       11032
  TCP    127.0.0.1:44950        0.0.0.0:0              LISTENING       12460
  TCP    127.0.0.1:44960        0.0.0.0:0              LISTENING       12460
  TCP    127.0.0.1:53701        127.0.0.1:59399        ESTABLISHED     11716
  TCP    127.0.0.1:54464        127.0.0.1:59399        ESTABLISHED     11716
  TCP    127.0.0.1:58732        0.0.0.0:0              LISTENING       20004
  TCP    127.0.0.1:59329        0.0.0.0:0              LISTENING       3588
  TCP    127.0.0.1:59356        0.0.0.0:0              LISTENING       7796
  TCP    127.0.0.1:59356        127.0.0.1:59414        ESTABLISHED     7796
  TCP    127.0.0.1:59356        127.0.0.1:59415        ESTABLISHED     7796
  TCP    127.0.0.1:59356        127.0.0.1:59418        ESTABLISHED     7796
  TCP    127.0.0.1:59356        127.0.0.1:59426        ESTABLISHED     7796
  TCP    127.0.0.1:59356        127.0.0.1:59473        ESTABLISHED     7796
